"kegiatan" "tingkat_kegiatan" "peran_prestasi" "poin"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "SC" "4"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "Ketua" "4"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "Wakil Ketua" "3"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "Sekretaris" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "Bendahara" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "Ketua Bidang" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "Anggota/Peserta" "1.5"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Internasional" "Penyaji/Narasumber" "3"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "SC" "3"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "Ketua" "3"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "Wakil Ketua" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "Sekretaris" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "Bendahara" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "Ketua Bidang" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "Anggota/Peserta" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Nasional" "Penyaji/Narasumber" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Steering Committee" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Ketua" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Wakil Ketua" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Sekretaris" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Bendahara" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Ketua Bidang" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Anggota/Peserta" "1"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Penyaji/Narasumber" "2"
"Penelitian, Pengabdian Masyarakat, Seminar, Kuliah Tamu dan Kegiatan Ilmiah Lainnya" "Lokal" "Mentor / Tutor" "2"
